	labels	answer	Object1	Object2	CommonObj	Aspect	text	preds	prob: Neutral	prob: objekt1	prob: objekt2
0	0	Смотреть фильмы онлайн удобнее всего в браузерах firefox, opera, internet explorer или chrome.	Internet, Explorer	Firefox			Смотреть фильмы онлайн удобнее всего в браузерах [SECOND_ENTITY], opera, [FIRST_ENTITY] или chrome.	0	0.9995529	0.00020297417	0.00024416926
1	0	Было бы лучше, если бы я мог двигать мускулами других людей и животных, как я хочу, но я не могу и потому всё внимание на себя.	люд	животн			Было бы лучше, если бы я мог двигать мускулами других [FIRST_ENTITY] и [SECOND_ENTITY], как я хочу, но я не могу и потому всё внимание на себя.	0	0.99954283	0.00021349949	0.0002437278
2	0	Бренды наряду с известными в европе производителями с вековой историей, камины которых стоят в лучших домах парижа и лондона, на арену выходят новые производители, продукция которых не уступает мэтрам данной области по качеству и надежности.	лондон	париж			Бренды наряду с известными в европе производителями с вековой историей, камины которых стоят в лучших домах [SECOND_ENTITY] и [FIRST_ENTITY], на арену выходят новые производители, продукция которых не уступает мэтрам данной области по качеству и надежности.	0	0.99950755	0.00023308671	0.00025934228
3	2	В спонже копятся бактерии, а глубоко промыть его сложнее, чем кисть, да и портится он от этого.	кист	спонж			В [SECOND_ENTITY] копятся бактерии, а глубоко промыть его сложнее, чем [FIRST_ENTITY], да и портится он от этого.	2	0.001533984	0.0014046524	0.9970613
4	0	При нанесении тональника лучше использовать спонж или кисточку, а не пальцы.	кист	спонж			При нанесении тональника лучше использовать [SECOND_ENTITY] или [FIRST_ENTITY], а не пальцы.	0	0.9994791	0.00026168188	0.0002592639
5	0	Свежезаваренный чай — содержит идеальное количество кофеина для повышения внимания, улучшения настроения и памяти.	коф	ча		кофеин	Свежезаваренный [SECOND_ENTITY] — содержит идеальное количество [FIRST_ENTITY] для повышения внимания, улучшения настроения и памяти.	0	0.9982566	0.0010683162	0.00067513215
6	0	Хотя на сегодняшний день имеются тампоны, предназначенные специально для девственниц, все же лучше отдать предпочтение прокладкам.	тампон	прокладк			Хотя на сегодняшний день имеются [FIRST_ENTITY], предназначенные специально для девственниц, все же лучше отдать предпочтение [SECOND_ENTITY].	2	0.0014112744	0.00081232365	0.99777645
7	1	Собака это знает лучше людей и находит след своего хозяина.	собак	люд			[FIRST_ENTITY] это знает лучше [SECOND_ENTITY] и находит след своего хозяина.	1	0.0022635865	0.9973611	0.00037519485
8	0	Что лучше сдавать toefl или ielts?	IELTS	TOEFL			Что лучше сдавать [SECOND_ENTITY] или [FIRST_ENTITY]?	0	0.99955195	0.00019866995	0.000249352
9	0	Способ применения: нанести на предварительно очищенную кожу с помощью косметического спонжа, специальной кисти или пальцев рук.	кист	спонж			Способ применения: нанести на предварительно очищенную кожу с помощью косметического [SECOND_ENTITY], специальной [FIRST_ENTITY] или пальцев рук.	0	0.9995198	0.00022968781	0.00025048535
10	1	Microsoft восполнила это с помощью xbox one x, который был заметно мощнее ps4 pro.	ps4	xbox, one			Microsoft восполнила это с помощью [SECOND_ENTITY] x, который был заметно мощнее [FIRST_ENTITY] pro.	1	0.0013988884	0.9982986	0.00030246392
11	0	Профессионалы наносят крем на тыльную сторону ладони, чтобы он нагрелся и легче тушевался, после используют спонж, кисть или пальцы для точечного нанесения на лицо, оставляя отметки на скулах, подбородке, а также в зоне лба и на спинке носа.	кист	спонж			Профессионалы наносят крем на тыльную сторону ладони, чтобы он нагрелся и легче тушевался, после используют [SECOND_ENTITY], [FIRST_ENTITY] или пальцы для точечного нанесения на лицо, оставляя отметки на скулах, подбородке, а также в зоне лба и на спинке носа.	0	0.9995301	0.00022506782	0.0002449039
12	0	Это вам не симпсоны либо гриффины, или , того хуже, саус парк, в которых кроме гадости , грязи и тупого топорного юмора ничего нет.	гриффин	симпсон			Это вам не [SECOND_ENTITY] либо [FIRST_ENTITY], или , того хуже, саус парк, в которых кроме гадости , грязи и тупого топорного юмора ничего нет.	0	0.9993899	0.0003208397	0.0002892252
13	0	Сухой хайлайтер лучше наносить кистью-бочонком или влажным спонжем (для еще более плотного покрытия).	кист	спонж			Сухой хайлайтер лучше наносить [FIRST_ENTITY]-бочонком или влажным [SECOND_ENTITY] (для еще более плотного покрытия).	0	0.9992849	0.00038901356	0.0003260202
14	1	Карандаш для глаз заменить подводкой или тенями, пудру лучше наносить при помощи спонжа, а не кисточки.	кист	спонж			Карандаш для глаз заменить подводкой или тенями, пудру лучше наносить при помощи [SECOND_ENTITY], а не [FIRST_ENTITY].	1	0.0024532604	0.9971848	0.00036189798
15	2	Нести лыжное оборудование до подъёмника сложнее, чем один сноуборд.	лыж	сноуборд		сложн	Нести [FIRST_ENTITY] оборудование до подъёмника сложнее, чем один [SECOND_ENTITY].	0	0.9720533	0.01698159	0.010965112
16	0	Зайдя на сайт автосалона, вы найдете информацию о том, что компания сотрудничает с ведущими банками россии и может себе позволить обеспечить покупателям лучшие условия автокредитования.	автосалон	банк		автокред	Зайдя на сайт [FIRST_ENTITY], вы найдете информацию о том, что компания сотрудничает с ведущими [SECOND_ENTITY] россии и может себе позволить обеспечить покупателям лучшие условия автокредитования.	0	0.9989083	0.0006372721	0.00045440046
17	0	Что выгодней, кредит в банке или автокредит в автосалоне.	автосалон	банк		автокред	Что выгодней, кредит в [SECOND_ENTITY] или автокредит в [FIRST_ENTITY].	0	0.99935025	0.00034011604	0.00030960503
18	0	Плоская или круглая кисть для тонального крема – правда, здесь девушки делятся на тех, кому удобнее наносить тон кистью и тех, кому – спонжем (или бьюти-блендером).	кист	спонж			Плоская или круглая [FIRST_ENTITY] для тонального крема – правда, здесь девушки делятся на тех, кому удобнее наносить тон [FIRST_ENTITY] и тех, кому – [SECOND_ENTITY] (или бьюти-блендером).	0	0.99798775	0.0012428273	0.0007693553
19	0	Читайте более актуальное сравнение: что лучше xbox one x или ps4 pro — сравнение заряженных консолей, а так же сравнение всех версий xbox one.	ps4	xbox, one			Читайте более актуальное сравнение: что лучше [SECOND_ENTITY] x или [FIRST_ENTITY] pro — сравнение заряженных консолей, а так же сравнение всех версий [SECOND_ENTITY].	0	0.99896276	0.00060058606	0.00043670443
20	2	Установка гостевых дополнений в ubuntu здесь будет уже немного посложней, как ни как linux это вам не windows :) .	windows	linux			Установка гостевых дополнений в ubuntu здесь будет уже немного посложней, как ни как [SECOND_ENTITY] это вам не [FIRST_ENTITY] :) .	0	0.9659948	0.024053114	0.009952059
21	0	Чтобы создать темные круги вокруг глаз не хуже, чем у битлджуса, нанесите плоской кистью черно-серые или темно-фиолетовые тени, смешанные с красными, на зону вокруг глаз, а затем растушуйте спонжем, смоченным в воде.	кист	спонж			Чтобы создать темные круги вокруг глаз не хуже, чем у битлджуса, нанесите плоской [FIRST_ENTITY] черно-серые или темно-фиолетовые тени, смешанные с красными, на зону вокруг глаз, а затем растушуйте [SECOND_ENTITY], смоченным в воде.	0	0.9990308	0.00057191506	0.00039724336
22	0	А потом берем краску на 1-2 тона светлее (или вообще другого цвета) и работаем уже не кисточкой а поролоновой губкой, или спонжиком для макияжа.	кист	спонж			А потом берем краску на 1-2 тона светлее (или вообще другого цвета) и работаем уже не [FIRST_ENTITY] а поролоновой губкой, или [SECOND_ENTITY] для макияжа.	0	0.9978269	0.001309984	0.00086312887
23	0	Павел нерсесьян выступает в лучших залах лондона, парижа, нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	лондон	париж			Павел нерсесьян выступает в лучших залах [FIRST_ENTITY], [SECOND_ENTITY], нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	0	0.99953294	0.000215455	0.0002516264
24	0	Спонж или кисть.можно наносить тон на кожу и пальцами, но намного удобнее делать это с помощью специального инструмента.	кист	спонж			[SECOND_ENTITY] или [FIRST_ENTITY].можно наносить тон на кожу и пальцами, но намного удобнее делать это с помощью специального инструмента.	0	0.9995455	0.00021232016	0.00024217194
25	0	Сразу предупреждаю - под катом прокладки и их описание, так что если вам надоело засилье прокладок в рекламах на тв, лучше не отрывайте :))) тампоны использовали еще древние египтяне, изготовляя их из папируса.	тампон	прокладк			Сразу предупреждаю - под катом [SECOND_ENTITY] и их описание, так что если вам надоело засилье прокладок в рекламах на тв, лучше не отрывайте :))) [FIRST_ENTITY] использовали еще древние египтяне, изготовляя их из папируса.	0	0.9965783	0.00205369	0.0013679591
26	2	При этом пища, доведенная до готовности в духовке, считается полезней, чем жарка на варочной панели, так как при запекании продуктов не образуются канцерогены — вредные вещества, вызывающие раковые заболевания.	запека	жар		полезн	При этом пища, доведенная до готовности в духовке, считается полезней, чем [SECOND_ENTITY] на варочной панели, так как при [FIRST_ENTITY] продуктов не образуются канцерогены — вредные вещества, вызывающие раковые заболевания.	1	0.015994227	0.98077905	0.003226647
27	0	Что лучше беспроводной или проводной интернет?	проводн	беспроводн		интернет	Что лучше [SECOND_ENTITY] или [FIRST_ENTITY] интернет?	0	0.9995515	0.0002047745	0.00024367949
28	0	Дополняет впечатление от технических улучшений и производительность новой версии на консолях playstation 5 и xbox series x — здесь игра работает в 4k-разрешении при 60 кадрах в секунду.	Xbox	PlayStation			Дополняет впечатление от технических улучшений и производительность новой версии на консолях [SECOND_ENTITY] 5 и [FIRST_ENTITY] series x — здесь игра работает в 4k-разрешении при 60 кадрах в секунду.	0	0.9993699	0.0003300732	0.00029995837
29	0	В москве лучше, чем в мировых столицах: нью-йорке, берлине, париже, лондоне...	лондон	париж			В москве лучше, чем в мировых столицах: нью-йорке, берлине, [SECOND_ENTITY], [FIRST_ENTITY]...	0	0.99952054	0.00022964066	0.00024983948
