	labels	answer	Object1	Object2	CommonObj	Aspect	text	prob: Neutral	prob: objekt1	prob: objekt2	preds
0	0	Тест подключаемого модуля bmw x3: набор мышц bmw превращает свой x3 в подключаемый гибрид, чтобы лучше охотиться на земле audi q5 или volvo xc60.размеры volvo xc60 примерно такой же ширины, как и bmw x3.	BMW	Audi			Тест подключаемого модуля [FIRST_ENTITY] x3: набор мышц [FIRST_ENTITY] превращает свой x3 в подключаемый гибрид, чтобы лучше охотиться на земле [SECOND_ENTITY] q5 или volvo xc60.размеры volvo xc60 примерно такой же ширины, как и [FIRST_ENTITY] x3.	0.9709171	0.023320043	0.0057628877	0
1	0	Наносить лучше кисточкой, спонжем минимальное количество.	кист	спонж			Наносить лучше [FIRST_ENTITY], [SECOND_ENTITY] минимальное количество.	0.1697702	0.6431823	0.18704763	1
2	0	Supports chrome, firefox and internet explorer кaкой бинокль лучше бпц on windows играть в игру смотреть в бинокль 8, неполные семь vista and оптоволоконный эндоскоп xp.	Internet, Explorer	Firefox			Supports chrome, [SECOND_ENTITY] and [FIRST_ENTITY] кaкой бинокль лучше бпц on windows играть в игру смотреть в бинокль 8, неполные семь vista and оптоволоконный эндоскоп xp.	0.97880197	0.016819237	0.004378692	0
3	1	Игры для xbox series x нам могут показать лишь в августе вероятно, в этом году купить xbox series x будет легче, чем sony playstation 5 как мы узнали вчера, игры для playstation 5 нам покажут 11 июня.	Xbox	PlayStation			Игры для [FIRST_ENTITY] series x нам могут показать лишь в августе вероятно, в этом году купить [FIRST_ENTITY] series x будет легче, чем sony [SECOND_ENTITY] 5 как мы узнали вчера, игры для [SECOND_ENTITY] 5 нам покажут 11 июня.	0.17047669	0.6421647	0.18735857	1
4	2	И выполнять трюки на лыжах намного сложнее, чем на сноуборде.	лыж	сноуборд		сложн	И выполнять трюки на [FIRST_ENTITY] намного сложнее, чем на [SECOND_ENTITY].	0.1693589	0.6436193	0.1870218	1
5	0	Чем лучше наносить для правильного и равномерного нанесения тона, корректора или консилера на лицо могут использоваться разнообразные косметические атрибуты – спонжи, кисточки или пальцы рук.	кист	спонж			Чем лучше наносить для правильного и равномерного нанесения тона, корректора или консилера на лицо могут использоваться разнообразные косметические атрибуты – [SECOND_ENTITY], [FIRST_ENTITY] или пальцы рук.	0.9840808	0.012162488	0.003756651	0
6	0	Например, если вы летите самолетом airbus a320, лучше 8-15 ряды, в boeing 737-800 — с 12-го по 18-й.	Boeing	Airbus	самолет		Например, если вы летите самолетом [SECOND_ENTITY] a320, лучше 8-15 ряды, в [FIRST_ENTITY] 737-800 — с 12-го по 18-й.	0.16883522	0.6439249	0.18723987	1
7	0	Microsoft реализует в wsl доступ к gpu и запуск графических приложений linux компания microsoft объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for linux), обеспечивающей запуск исполняемых файлов linux в windows....	linux	Microsoft			[SECOND_ENTITY] реализует в wsl доступ к gpu и запуск графических приложений [FIRST_ENTITY] компания [SECOND_ENTITY] объявила о реализации значительных улучшений в подсистеме wsl (windows subsystem for [FIRST_ENTITY]), обеспечивающей запуск исполняемых файлов [FIRST_ENTITY] в windows....	0.9700066	0.024141481	0.0058520446	0
8	0	Кистью для макияжа, спонжем или пальцем – чем лучше наносить макияж кейпы, бомберы и тренчи с бахромой – на что обратить внимание, собирая осенний гардероб своими руками снимай, пока не поздно!	кист	спонж			[FIRST_ENTITY] для макияжа, [SECOND_ENTITY] или пальцем – чем лучше наносить макияж кейпы, бомберы и тренчи с бахромой – на что обратить внимание, собирая осенний гардероб своими руками снимай, пока не поздно!	0.9835058	0.012557601	0.0039366554	0
9	1	Ясно, что в ближайшее время вряд ли кому-нибудь удастся потеснить windows, по крайней мере, linux пока с этим не слишком хорошо справляется.	windows	linux			Ясно, что в ближайшее время вряд ли кому-нибудь удастся потеснить [FIRST_ENTITY], по крайней мере, [SECOND_ENTITY] пока с этим не слишком хорошо справляется.	0.17492549	0.6342598	0.19081464	1
