labels	answer	Object1	Object2	CommonObj	Aspect	text
0	Смотреть фильмы онлайн удобнее всего в браузерах firefox, opera, internet explorer или chrome.	Internet, Explorer	Firefox			Смотреть фильмы онлайн удобнее всего в браузерах [SECOND_ENTITY], opera, [FIRST_ENTITY] или chrome.
0	Было бы лучше, если бы я мог двигать мускулами других людей и животных, как я хочу, но я не могу и потому всё внимание на себя.	люд	животн			Было бы лучше, если бы я мог двигать мускулами других [FIRST_ENTITY] и [SECOND_ENTITY], как я хочу, но я не могу и потому всё внимание на себя.
0	Бренды наряду с известными в европе производителями с вековой историей, камины которых стоят в лучших домах парижа и лондона, на арену выходят новые производители, продукция которых не уступает мэтрам данной области по качеству и надежности.	лондон	париж			Бренды наряду с известными в европе производителями с вековой историей, камины которых стоят в лучших домах [SECOND_ENTITY] и [FIRST_ENTITY], на арену выходят новые производители, продукция которых не уступает мэтрам данной области по качеству и надежности.
3	В спонже копятся бактерии, а глубоко промыть его сложнее, чем кисть, да и портится он от этого.	кист	спонж			В [SECOND_ENTITY] копятся бактерии, а глубоко промыть его сложнее, чем [FIRST_ENTITY], да и портится он от этого.
0	При нанесении тональника лучше использовать спонж или кисточку, а не пальцы.	кист	спонж			При нанесении тональника лучше использовать [SECOND_ENTITY] или [FIRST_ENTITY], а не пальцы.
0	Свежезаваренный чай — содержит идеальное количество кофеина для повышения внимания, улучшения настроения и памяти.	коф	ча		кофеин	Свежезаваренный [SECOND_ENTITY] — содержит идеальное количество [FIRST_ENTITY] для повышения внимания, улучшения настроения и памяти.
0	Хотя на сегодняшний день имеются тампоны, предназначенные специально для девственниц, все же лучше отдать предпочтение прокладкам.	тампон	прокладк			Хотя на сегодняшний день имеются [FIRST_ENTITY], предназначенные специально для девственниц, все же лучше отдать предпочтение [SECOND_ENTITY].
2	Собака это знает лучше людей и находит след своего хозяина.	собак	люд			[FIRST_ENTITY] это знает лучше [SECOND_ENTITY] и находит след своего хозяина.
0	Что лучше сдавать toefl или ielts?	IELTS	TOEFL			Что лучше сдавать [SECOND_ENTITY] или [FIRST_ENTITY]?
0	Способ применения: нанести на предварительно очищенную кожу с помощью косметического спонжа, специальной кисти или пальцев рук.	кист	спонж			Способ применения: нанести на предварительно очищенную кожу с помощью косметического [SECOND_ENTITY], специальной [FIRST_ENTITY] или пальцев рук.
2	Microsoft восполнила это с помощью xbox one x, который был заметно мощнее ps4 pro.	ps4	xbox, one			Microsoft восполнила это с помощью [SECOND_ENTITY] x, который был заметно мощнее [FIRST_ENTITY] pro.
0	Профессионалы наносят крем на тыльную сторону ладони, чтобы он нагрелся и легче тушевался, после используют спонж, кисть или пальцы для точечного нанесения на лицо, оставляя отметки на скулах, подбородке, а также в зоне лба и на спинке носа.	кист	спонж			Профессионалы наносят крем на тыльную сторону ладони, чтобы он нагрелся и легче тушевался, после используют [SECOND_ENTITY], [FIRST_ENTITY] или пальцы для точечного нанесения на лицо, оставляя отметки на скулах, подбородке, а также в зоне лба и на спинке носа.
0	Это вам не симпсоны либо гриффины, или , того хуже, саус парк, в которых кроме гадости , грязи и тупого топорного юмора ничего нет.	гриффин	симпсон			Это вам не [SECOND_ENTITY] либо [FIRST_ENTITY], или , того хуже, саус парк, в которых кроме гадости , грязи и тупого топорного юмора ничего нет.
0	Сухой хайлайтер лучше наносить кистью-бочонком или влажным спонжем (для еще более плотного покрытия).	кист	спонж			Сухой хайлайтер лучше наносить [FIRST_ENTITY]-бочонком или влажным [SECOND_ENTITY] (для еще более плотного покрытия).
2	Карандаш для глаз заменить подводкой или тенями, пудру лучше наносить при помощи спонжа, а не кисточки.	кист	спонж			Карандаш для глаз заменить подводкой или тенями, пудру лучше наносить при помощи [SECOND_ENTITY], а не [FIRST_ENTITY].
3	Нести лыжное оборудование до подъёмника сложнее, чем один сноуборд.	лыж	сноуборд		сложн	Нести [FIRST_ENTITY] оборудование до подъёмника сложнее, чем один [SECOND_ENTITY].
0	Зайдя на сайт автосалона, вы найдете информацию о том, что компания сотрудничает с ведущими банками россии и может себе позволить обеспечить покупателям лучшие условия автокредитования.	автосалон	банк		автокред	Зайдя на сайт [FIRST_ENTITY], вы найдете информацию о том, что компания сотрудничает с ведущими [SECOND_ENTITY] россии и может себе позволить обеспечить покупателям лучшие условия автокредитования.
0	Что выгодней, кредит в банке или автокредит в автосалоне.	автосалон	банк		автокред	Что выгодней, кредит в [SECOND_ENTITY] или автокредит в [FIRST_ENTITY].
0	Плоская или круглая кисть для тонального крема – правда, здесь девушки делятся на тех, кому удобнее наносить тон кистью и тех, кому – спонжем (или бьюти-блендером).	кист	спонж			Плоская или круглая [FIRST_ENTITY] для тонального крема – правда, здесь девушки делятся на тех, кому удобнее наносить тон [FIRST_ENTITY] и тех, кому – [SECOND_ENTITY] (или бьюти-блендером).
0	Читайте более актуальное сравнение: что лучше xbox one x или ps4 pro — сравнение заряженных консолей, а так же сравнение всех версий xbox one.	ps4	xbox, one			Читайте более актуальное сравнение: что лучше [SECOND_ENTITY] x или [FIRST_ENTITY] pro — сравнение заряженных консолей, а так же сравнение всех версий [SECOND_ENTITY].
3	Установка гостевых дополнений в ubuntu здесь будет уже немного посложней, как ни как linux это вам не windows :) .	windows	linux			Установка гостевых дополнений в ubuntu здесь будет уже немного посложней, как ни как [SECOND_ENTITY] это вам не [FIRST_ENTITY] :) .
0	Чтобы создать темные круги вокруг глаз не хуже, чем у битлджуса, нанесите плоской кистью черно-серые или темно-фиолетовые тени, смешанные с красными, на зону вокруг глаз, а затем растушуйте спонжем, смоченным в воде.	кист	спонж			Чтобы создать темные круги вокруг глаз не хуже, чем у битлджуса, нанесите плоской [FIRST_ENTITY] черно-серые или темно-фиолетовые тени, смешанные с красными, на зону вокруг глаз, а затем растушуйте [SECOND_ENTITY], смоченным в воде.
