tag	text	Object1	Object2	CommonObj	Aspect
NONE	Смотреть фильмы онлайн удобнее всего в браузерах firefox, opera, internet explorer или chrome.	Internet, Explorer	Firefox		
NONE	Было бы лучше, если бы я мог двигать мускулами других людей и животных, как я хочу, но я не могу и потому всё внимание на себя.	люд	животн		
NONE	Бренды наряду с известными в европе производителями с вековой историей, камины которых стоят в лучших домах парижа и лондона, на арену выходят новые производители, продукция которых не уступает мэтрам данной области по качеству и надежности.	лондон	париж		
WORSE	В спонже копятся бактерии, а глубоко промыть его сложнее, чем кисть, да и портится он от этого.	кист	спонж		
NONE	При нанесении тональника лучше использовать спонж или кисточку, а не пальцы.	кист	спонж		
NONE	Свежезаваренный чай — содержит идеальное количество кофеина для повышения внимания, улучшения настроения и памяти.	коф	ча		кофеин
NONE	Хотя на сегодняшний день имеются тампоны, предназначенные специально для девственниц, все же лучше отдать предпочтение прокладкам.	тампон	прокладк		
BETTER	Собака это знает лучше людей и находит след своего хозяина.	собак	люд		
NONE	Что лучше сдавать toefl или ielts?	IELTS	TOEFL		
NONE	Способ применения: нанести на предварительно очищенную кожу с помощью косметического спонжа, специальной кисти или пальцев рук.	кист	спонж		
BETTER	Microsoft восполнила это с помощью xbox one x, который был заметно мощнее ps4 pro.	ps4	xbox, one		
NONE	Профессионалы наносят крем на тыльную сторону ладони, чтобы он нагрелся и легче тушевался, после используют спонж, кисть или пальцы для точечного нанесения на лицо, оставляя отметки на скулах, подбородке, а также в зоне лба и на спинке носа.	кист	спонж		
NONE	Это вам не симпсоны либо гриффины, или , того хуже, саус парк, в которых кроме гадости , грязи и тупого топорного юмора ничего нет.	гриффин	симпсон		
NONE	Сухой хайлайтер лучше наносить кистью-бочонком или влажным спонжем (для еще более плотного покрытия).	кист	спонж		
BETTER	Карандаш для глаз заменить подводкой или тенями, пудру лучше наносить при помощи спонжа, а не кисточки.	кист	спонж		
WORSE	Нести лыжное оборудование до подъёмника сложнее, чем один сноуборд.	лыж	сноуборд		сложн
NONE	Зайдя на сайт автосалона, вы найдете информацию о том, что компания сотрудничает с ведущими банками россии и может себе позволить обеспечить покупателям лучшие условия автокредитования.	автосалон	банк		автокред
NONE	Что выгодней, кредит в банке или автокредит в автосалоне.	автосалон	банк		автокред
NONE	Плоская или круглая кисть для тонального крема – правда, здесь девушки делятся на тех, кому удобнее наносить тон кистью и тех, кому – спонжем (или бьюти-блендером).	кист	спонж		
NONE	Читайте более актуальное сравнение: что лучше xbox one x или ps4 pro — сравнение заряженных консолей, а так же сравнение всех версий xbox one.	ps4	xbox, one		
WORSE	Установка гостевых дополнений в ubuntu здесь будет уже немного посложней, как ни как linux это вам не windows :) .	windows	linux		
NONE	Чтобы создать темные круги вокруг глаз не хуже, чем у битлджуса, нанесите плоской кистью черно-серые или темно-фиолетовые тени, смешанные с красными, на зону вокруг глаз, а затем растушуйте спонжем, смоченным в воде.	кист	спонж		
NONE	А потом берем краску на 1-2 тона светлее (или вообще другого цвета) и работаем уже не кисточкой а поролоновой губкой, или спонжиком для макияжа.	кист	спонж		
NONE	Павел нерсесьян выступает в лучших залах лондона, парижа, нью-йорка, будапешта, лейпцига, вены, токио, мадрида и других городов зарубежья и россии.	лондон	париж		
NONE	Спонж или кисть.можно наносить тон на кожу и пальцами, но намного удобнее делать это с помощью специального инструмента.	кист	спонж		
NONE	Сразу предупреждаю - под катом прокладки и их описание, так что если вам надоело засилье прокладок в рекламах на тв, лучше не отрывайте :))) тампоны использовали еще древние египтяне, изготовляя их из папируса.	тампон	прокладк		
