	object_0	object_1	answer	labels	text	preds	prob: Neutral	prob: objekt1	prob: objekt2
0	Google	Apple	Life keeps on getting easier and easier with Google and Apple.	0	Life keeps on getting easier and easier with [FIRST_ENTITY] and [SECOND_ENTITY].	0	0.9986254	0.00052841485	0.0008461159
1	Bash	Python	Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration...	0	Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, [FIRST_ENTITY], [SECOND_ENTITY]) Configuration...	0	0.9986199	0.00053204206	0.00084804924
2	JavaScript	PHP	Solid experience in HTML,JavaScript, CSS, PHP, MySQL, and adhering to accessibility standards.	0	Solid experience in HTML,[FIRST_ENTITY], CSS, [SECOND_ENTITY], MySQL, and adhering to accessibility standards.	0	0.9986119	0.0005367586	0.00085131935
3	halloween	thanksgiving	As if it could get any better, my birthday, my wedding anniversary, halloween and thanksgiving!	0	As if it could get any better, my birthday, my wedding anniversary, [FIRST_ENTITY] and [SECOND_ENTITY]!	0	0.99863106	0.00052291196	0.00084588386
4	basketball	baseball	It's true! Archery is safer than basketball, baseball, soccer and even golf.	0	It's true! Archery is safer than [FIRST_ENTITY], [SECOND_ENTITY], soccer and even golf.	0	0.9985831	0.00055537286	0.00086159084
5	cider	beer	IMO making a terrific hard cider is WAY harder than making great beer.	2	IMO making a terrific hard [FIRST_ENTITY] is WAY harder than making great [SECOND_ENTITY].	2	0.01744739	0.011227145	0.9713255
6	timber	lumber	The Procurement Division purchases and harvests southern yellow pine timber and our Sawmill Manufactures superior quality southern yellow pine lumber.	0	The Procurement Division purchases and harvests southern yellow pine [FIRST_ENTITY] and our Sawmill Manufactures superior quality southern yellow pine [SECOND_ENTITY].	0	0.937152	0.044669874	0.018178033
7	AMD	Samsung	AMD Phenom II X4 975BE @ 4.1Ghz Corsair H60 CPU Cooler w/ 2x Noctua Fan (Push/Pull) Corsair Vengeance 4x4GB 1600Mhz RAM Corsair F60 60GB SSD (2x RAID 0) Corsair 750M PSU (750watt semi-modulator) Corsair Obsidian 800D eVGA GTX460 Western Digital Green 1TB hdd (2x JBOD) Hitachi Ultra-Star 1TB hdd (JBODed w/ other 1TB drives) Seagate Barracuda 1TB hdd (JBODed w/ other 1TB drives) Samsung Blu-ray ROM/DVD-burner Naxt LED Fan controller LSi Logic SAS/SATA RAID Controller Seagate Barracuda 500GB hdd (6x in unknown RAID via NAS)	0	[FIRST_ENTITY] Phenom II X4 975BE @ 4.1Ghz Corsair H60 CPU Cooler w/ 2x Noctua Fan (Push/Pull) Corsair Vengeance 4x4GB 1600Mhz RAM Corsair F60 60GB SSD (2x RAID 0) Corsair 750M PSU (750watt semi-modulator) Corsair Obsidian 800D eVGA GTX460 Western Digital Green 1TB hdd (2x JBOD) Hitachi Ultra-Star 1TB hdd (JBODed w/ other 1TB drives) Seagate Barracuda 1TB hdd (JBODed w/ other 1TB drives) [SECOND_ENTITY] Blu-ray ROM/DVD-burner Naxt LED Fan controller LSi Logic SAS/SATA RAID Controller Seagate Barracuda 500GB hdd (6x in unknown RAID via NAS)	0	0.9985262	0.0005886093	0.00088511134
8	JavaScript	PHP	It shows how JavaScript and PHP can be used in tandem to make a user's experience faster and more pleasant.	0	It shows how [FIRST_ENTITY] and [SECOND_ENTITY] can be used in tandem to make a user's experience faster and more pleasant.	0	0.9985979	0.000546024	0.0008560636
9	Audi	Mercedes-Benz	The new V60 wagon, part of Volvo's plan to better compete with Audi , BMW , and Mercedes-Benz , just entered production today.	0	The new V60 wagon, part of Volvo's plan to better compete with [FIRST_ENTITY] , BMW , and [SECOND_ENTITY] , just entered production today.	0	0.9986267	0.0005270036	0.00084634137
