number,vs,lang,sentence,modif-sentence,Relevance,Quality
1,ноутбук VS стационарный компьютер_objA,en,"Оказывается, мой ноутбук работает быстрее и лучше, чем мой рабочий стол.","Оказывается, мой ноутбук работает быстрее и лучше, чем мой рабочий стол.",2,1
2,ноутбук VS стационарный компьютер_objA,en,"Мой 5-летний Intel LAPTOP работает лучше и быстрее, чем настольный компьютер одного года друга AMD.","Мой 5-летний Intel LAPTOP работает лучше и быстрее, чем настольный компьютер одного года друга AMD.",2,2
3,ноутбук VS стационарный компьютер_objA,en,"Я поместил SuSE на ноутбук, потому что он устанавливает быстрее и легче, чем Gentou, который у меня на рабочем столе/сервере.","Я поместил SuSE на ноутбук, потому что он устанавливает быстрее и легче, чем Gentou, который у меня на рабочем столе/сервере.",2,1
4,ноутбук VS стационарный компьютер_objA,en,"Хотя и не самая высокая спецификация, Verona лучше оснащена, чем Netbook, и на уровне 1,6 кг гораздо легче выкарабкаться, чем средний ноутбук.","Хотя и не самая высокая спецификация, Verona лучше оснащена, чем Netbook, и на уровне 1,6 кг гораздо легче выкарабкаться, чем средний ноутбук.",1,1
5,ноутбук VS стационарный компьютер_objA,en,"Ноутбук нуждается в большей пропускной способности, чем мобильное устройство, так что ваш телефон может загружать страницы быстрее на медленном подключении по сравнению с настольным.","Ноутбук нуждается в большей пропускной способности, чем мобильное устройство, так что ваш телефон может загружать страницы быстрее на медленном подключении по сравнению с настольным.",0,1
6,ноутбук VS стационарный компьютер_objA,en,"Хотя я мог бы продолжать вести блог из другой системы, мне действительно нужно вернуть ноутбук обратно в сеть, так как проще делать видеозапись с моего ноутбука, потому что он быстрее, чем мой рабочий стол.","Хотя я мог бы продолжать вести блог из другой системы, мне действительно нужно вернуть ноутбук обратно в сеть, так как проще делать видеозапись с моего ноутбука, потому что он быстрее, чем мой рабочий стол.",1,1
7,ноутбук VS стационарный компьютер_objA,en,"Портативные компьютеры гораздо меньше и легче, чем настольные компьютеры.","Портативные компьютеры гораздо меньше и легче, чем настольные компьютеры.",2,2
8,ноутбук VS стационарный компьютер_objA,en,"Даже если этот ноутбук будет на 100x быстрее, чем сегодняшний рабочий стол, будущий рабочий стол все равно будет на 10x быстрее, чем будущий ноутбук.","Даже если этот ноутбук будет на 100x быстрее, чем сегодняшний рабочий стол, будущий рабочий стол все равно будет на 10x быстрее, чем будущий ноутбук.",2,1
9,ноутбук VS стационарный компьютер_objA,en,"Ты вырастишь ноутбук намного быстрее, чем настольные игры.","Ты вырастишь ноутбук намного быстрее, чем настольные игры.",0,0
10,ноутбук VS стационарный компьютер_objA,en,"Рынок портативных компьютеров растет быстрее, чем рынок настольных компьютеров.","Рынок портативных компьютеров растет быстрее, чем рынок настольных компьютеров.",2,1
